,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0,0,0.7,0,0.27,0,0,0,0.02,0,2,https://stackoverflow.com/questions/65509825/cant-invoke-the-chaincode
Doc1,0.65,0,0,0.1,0,0,0.06,0.09,0,0.1,0,https://stackoverflow.com/questions/65507360/how-do-i-compare-the-trait-type-with-the-string-type-in-substrate-module
Doc2,0.57,0,0,0.22,0,0.2,0,0,0,0,0,https://stackoverflow.com/questions/65488885/which-blockchain-is-best-to-implement-tamper-proof-document
Doc3,0,0,0,0,0,0,0.01,0.02,0,0.96,9,https://stackoverflow.com/questions/65487638/can-not-deploy-erc20-token-using-truffle
Doc4,0,0,0.76,0,0,0,0,0,0,0.23,2,https://stackoverflow.com/questions/65478800/cant-initialize-tronbox-using-tronbox-cli-on-ubuntu
Doc5,0,0.58,0,0.41,0,0,0,0,0,0,1,https://stackoverflow.com/questions/65475056/where-smart-contracts-are-technically-saved-in-the-eth-blockchain
Doc6,0,0.19,0,0,0,0,0,0.25,0,0.55,9,https://stackoverflow.com/questions/65466675/vm-exception-while-processing-transaction-revert-error-while-testing-createrequ
Doc7,0.17,0,0,0,0,0,0,0.04,0,0.79,9,https://stackoverflow.com/questions/65454288/unimplementedfeatureerror-in-ethereum-solidity
Doc8,0,0,0,0,0,0,0,0.25,0,0.74,9,https://stackoverflow.com/questions/65447892/solidity-error-identifier-not-found-or-unique
Doc9,0,0,0.94,0,0.06,0,0,0,0,0,2,https://stackoverflow.com/questions/65438810/hyperledger-fabric-2-x-error-chaincode-install-failed-with-status
Doc10,0,0,0.08,0.72,0.03,0,0,0.16,0,0,3,https://stackoverflow.com/questions/65435474/how-to-write-a-function-in-chaincode-that-simply-count-the-total-records-and-ret
Doc11,0,0,0.1,0.82,0,0,0.08,0,0,0,3,https://stackoverflow.com/questions/65435128/error-about-connecting-substrate-blockchains-to-polkadot-with-cumulus
Doc12,0,0,0.36,0.11,0,0,0.14,0,0,0.39,9,https://stackoverflow.com/questions/65434492/0x-protocol-error-no-default-contract-addresses-found-for-the-given-network-id
Doc13,0,0.36,0,0,0,0,0.63,0,0,0,6,https://stackoverflow.com/questions/65421853/tendermint-websocket-connection-doesnt-work-error-unexpected-server-respons
Doc14,0.75,0,0,0,0,0,0,0,0,0.24,0,https://stackoverflow.com/questions/65411439/get-eth-wallet-address-list-by-smart-contract-address
Doc15,0,0,0,0.24,0.04,0,0,0.69,0,0.03,7,https://stackoverflow.com/questions/65402395/how-can-i-convert-the-block-number-into-the-integer-type-in-substrate-module
Doc16,0.45,0.32,0.12,0.11,0,0,0,0,0,0,0,https://stackoverflow.com/questions/65396363/is-it-possible-to-create-our-own-solidity-library
Doc17,0.09,0,0.25,0,0,0,0.65,0,0,0,6,https://stackoverflow.com/questions/65284585/building-a-chainlink-node-for-a-new-blockchain-connection-failure-with-error-ne
Doc18,0,0,0.2,0,0,0,0.77,0,0,0,6,https://stackoverflow.com/questions/65283743/connection-failure-when-deploy-a-chainlink-node-with-postgresql
Doc19,0,0,0,0,0,0.62,0,0.37,0,0,5,https://stackoverflow.com/questions/65278412/how-can-i-create-a-list-with-the-money-flow-of-each-transaction-inside-a-block
Doc20,0,0,0.54,0.44,0,0,0,0,0,0,2,https://stackoverflow.com/questions/65266873/how-to-restart-a-substrate-node
Doc21,0,0,0,0.68,0.23,0,0,0.08,0,0,3,https://stackoverflow.com/questions/65244849/building-a-chainlink-node-ethereum-chainid-doesnt-match-chainlink-config-chai
Doc22,0.46,0,0,0,0.18,0,0,0,0,0.35,0,https://stackoverflow.com/questions/65234522/warning-spdx-license-identifier-not-provided-in-source-file
Doc23,0,0,0,0.29,0,0,0,0,0.7,0,8,https://stackoverflow.com/questions/65230108/what-happens-when-my-transaction-gets-confirmed-and-added-to-the-new-block
Doc24,0,0,0.16,0,0,0,0.19,0,0,0.63,9,https://stackoverflow.com/questions/65222341/truffle-migrate-command-referenceerror-migrations-not-defined
Doc25,0,0,0.81,0,0,0.05,0,0.14,0,0,2,https://stackoverflow.com/questions/65221372/how-to-merge-two-different-hyperledger-fabric-networks-to-a-single-network-with
Doc26,0,0.4,0,0,0,0,0.59,0,0,0,6,https://stackoverflow.com/questions/65217985/error-invalid-json-rpc-response-undefined
Doc27,0,0,0,0,0,0,0.1,0.89,0,0,7,https://stackoverflow.com/questions/65217341/downloading-blockchain-data-from-hive-with-python
Doc28,0.22,0,0,0,0,0,0.14,0.54,0.11,0,7,https://stackoverflow.com/questions/65212156/how-to-ensure-notified-bitcoin-block-is-confirmed
Doc29,0,0.03,0.83,0,0,0,0.13,0,0,0,2,https://stackoverflow.com/questions/65186144/enoent-no-such-file-or-directory-open-c-users-subwo-package-json
Doc30,0,0,0.91,0,0,0,0,0.09,0,0,2,https://stackoverflow.com/questions/65195933/deploy-two-fabric-network-on-single-machine-hyperledger-fabric2-0-blockchain
Doc31,0,0.54,0,0,0,0,0,0,0,0.45,1,https://stackoverflow.com/questions/65186078/how-to-join-two-utf8-strings-together-in-clarity
Doc32,0.1,0.18,0.2,0.5,0,0,0,0,0,0,3,https://stackoverflow.com/questions/65179064/when-i-invoke-waitfortransactionreceipt-in-web3py-theres-a-alarm-panic-and-exi
Doc33,0,0.16,0.08,0,0,0,0.75,0,0,0,6,https://stackoverflow.com/questions/65160121/ethers-js-jsonrpcprovider-geth-node-in-a-docker-environment
Doc34,0,0.06,0,0.15,0,0.07,0.29,0.42,0,0,7,https://stackoverflow.com/questions/65149379/chainlink-external-adapter-fetch-data-from-my-own-api-server
Doc35,0.47,0.08,0.02,0,0,0.36,0,0,0,0.08,0,https://stackoverflow.com/questions/65143427/how-to-control-access-to-personnal-information-stored-on-blockchain-with-an-edu
Doc36,0,0,0,0.38,0,0.26,0,0,0,0.35,3,https://stackoverflow.com/questions/65140015/how-can-i-send-erc20-tokens-without-a-gas
Doc37,0.25,0.63,0,0,0,0,0,0,0,0.1,1,https://stackoverflow.com/questions/65138951/i-want-to-call-smart-contract-method-function-at-php-on-tron-blockchain
Doc38,0.92,0,0,0,0,0,0,0.07,0,0,0,https://stackoverflow.com/questions/65138103/tendermint-what-is-a-good-architecture-to-implement-application-with-tendermint
Doc39,0.43,0,0.19,0,0,0,0.18,0,0.15,0.04,0,https://stackoverflow.com/questions/65122613/bitcoin-how-to-create-a-new-account-via-rpc
Doc40,0,0.25,0.23,0.28,0,0,0.17,0.07,0,0,3,https://stackoverflow.com/questions/65099473/deploying-smart-contract-using-truffle-on-private-blockchain-node-on-docker
