,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic,Title_link
Doc0,0.01,0.58,0,0,0,0.01,0.01,0,0,0.38,1,https://stackoverflow.com/questions/46192377/why-is-git-not-considered-a-block-chain
Doc1,0.11,0.53,0,0,0.17,0,0.05,0.13,0,0,1,https://stackoverflow.com/questions/41027747/query-local-bitcoin-blockchain-with-c-sharp-net
Doc2,0.72,0,0.15,0.08,0,0,0.05,0,0,0,0,https://stackoverflow.com/questions/33839154/in-ethereum-solidity-what-is-the-purpose-of-the-memory-keyword
Doc3,0.4,0,0.58,0.01,0,0,0,0,0,0,2,https://stackoverflow.com/questions/58258808/data-location-must-be-memory-for-return-parameter-in-function-but-none-was-gi
Doc4,0.12,0,0.47,0.17,0.15,0,0,0,0.04,0.05,2,https://stackoverflow.com/questions/65234522/warning-spdx-license-identifier-not-provided-in-source-file
Doc5,0,0.16,0,0.02,0,0,0.02,0,0,0.8,9,https://stackoverflow.com/questions/41690983/difference-between-various-blockchain-protocols
Doc6,0,0,0,0.03,0,0,0,0,0,0.96,9,https://stackoverflow.com/questions/47023945/whats-the-difference-between-hyperledger-fabric-and-sawtooth
Doc7,0.16,0,0.5,0.2,0,0,0.01,0.14,0,0,2,https://stackoverflow.com/questions/47129173/how-to-convert-uint-to-string-in-solidity
Doc8,0,0.09,0,0,0,0.07,0,0,0,0.83,9,https://stackoverflow.com/questions/41710738/pbft-algorithm-in-hyperledger
Doc9,0,0,0,0,0.99,0,0,0,0,0,4,https://stackoverflow.com/questions/38148521/truffle-command-not-found-after-installation
Doc10,0.06,0.41,0,0,0,0,0,0.01,0,0.52,9,https://stackoverflow.com/questions/26415908/whats-the-difference-between-distributed-hashtable-technology-and-the-bitcoin-b
Doc11,0.12,0.27,0,0,0,0,0.03,0.46,0,0.11,7,https://stackoverflow.com/questions/42042840/properties-of-a-cryptographic-hash-function
Doc12,0.09,0,0,0,0,0,0,0.72,0.04,0.15,7,https://stackoverflow.com/questions/48562483/solidity-basics-what-msg-sender-stands-for
Doc13,0,0.07,0,0.21,0,0.04,0,0,0.05,0.63,9,https://stackoverflow.com/questions/42081194/where-do-smart-contracts-reside-in-blockchain-ethereum-or-hyperledger
Doc14,0.3,0.36,0.15,0.17,0.02,0,0,0,0,0,1,https://stackoverflow.com/questions/37606839/how-to-return-mapping-list-in-solidity-ethereum-contract
Doc15,0.05,0.26,0.55,0.05,0,0,0,0.05,0,0.03,2,https://stackoverflow.com/questions/48848948/how-to-generate-a-random-number-in-solidity
Doc16,0,0.16,0,0.04,0.03,0,0,0,0,0.78,9,https://stackoverflow.com/questions/45796452/blockchain-implementation
Doc17,0.38,0,0.15,0.25,0,0,0,0.19,0,0.03,0,https://stackoverflow.com/questions/32157648/string-concatenation-in-solidity
Doc18,0,0.99,0,0,0,0,0,0,0,0,1,https://stackoverflow.com/questions/47869753/is-blockchain-a-single-linked-list
Doc19,0,0.14,0.01,0,0.12,0,0.03,0,0.24,0.46,9,https://stackoverflow.com/questions/50334489/performance-test-of-the-hyperledger-fabric
Doc20,0,0.27,0,0,0.12,0,0,0,0.11,0.5,9,https://stackoverflow.com/questions/21432976/possible-solutions-for-100-server-lessdecentralized-peer-discovery
Doc21,0,0,0.12,0.22,0,0.08,0,0.58,0,0,7,https://stackoverflow.com/questions/61388743/solidity-transaction-error-the-called-function-should-be-payable-if-you-send-va
Doc22,0,0.15,0,0,0,0,0,0,0,0.84,9,https://stackoverflow.com/questions/40928776/blockchain-and-hyperledger-fabric-difference
Doc23,0,0,0.43,0,0,0,0,0.57,0,0,7,https://stackoverflow.com/questions/48664570/what-approve-and-allowance-methods-are-really-doing-in-erc20-standard
Doc24,0.29,0,0,0.1,0.1,0.06,0,0,0,0.45,9,https://stackoverflow.com/questions/56040779/when-should-i-build-a-substrate-runtime-module-versus-a-substrate-smart-contract
Doc25,0.16,0.49,0,0,0,0,0,0.02,0,0.32,1,https://stackoverflow.com/questions/58369340/in-substrate-what-is-the-difference-between-babe-aura-and-grandpa
Doc26,0.56,0.19,0,0.03,0.06,0,0,0,0,0.16,0,https://stackoverflow.com/questions/42520069/handling-user-profiles-in-ethereum-dapps
Doc27,0.02,0,0.1,0.41,0,0,0.07,0.21,0,0.2,3,https://stackoverflow.com/questions/43106483/calling-external-contract-in-solidity-dynamically
Doc28,0.25,0,0.5,0.04,0.21,0,0,0,0,0,2,https://stackoverflow.com/questions/63170366/solidity-solc-error-struct-containing-a-nested-mapping-cannot-be-constructed
